utt_id,speaker_id,wav_path,label,split,duration,mfcc1_mean,mfcc1_std,mfcc2_mean,mfcc2_std,mfcc3_mean,mfcc3_std,mfcc4_mean,mfcc4_std,mfcc5_mean,mfcc5_std,mfcc6_mean,mfcc6_std,mfcc7_mean,mfcc7_std,mfcc8_mean,mfcc8_std,mfcc9_mean,mfcc9_std,mfcc10_mean,mfcc10_std,mfcc11_mean,mfcc11_std,mfcc12_mean,mfcc12_std,mfcc13_mean,mfcc13_std,rms_mean,rms_std,zcr_mean,zcr_std,centroid_mean,centroid_std,bandwidth_mean,bandwidth_std,rolloff_mean,rolloff_std,f0_mean,f0_std,voiced_ratio
03-01-03-01-01-01-01,1,data/raw/Actor_01/03-01-03-01-01-01-01.wav,happy,train,3.47,-421.7550659,74.84102631,104.5595016,55.01674271,-14.35682011,30.64964485,27.74124146,31.85114098,-8.244706154,25.2268219,-11.70976543,16.96505165,-16.91682625,17.2464447,-22.90860939,15.85431862,-16.31489563,13.06109715,-1.77481246,14.16384602,-19.87634277,11.67637444,4.519178867,12.58199024,-17.86128235,11.9458971,0.009278504,0.004808566,0.11177811,0.070984521,1575.773391,832.4705092,1473.763296,362.3885684,2934.283088,1437.252863,146.5155408,22.73886908,0.980392157
03-01-03-01-01-02-01,1,data/raw/Actor_01/03-01-03-01-01-02-01.wav,happy,train,3.47,-445.0942383,122.7355194,98.73200989,47.77696991,-13.32365799,35.00753784,30.2012825,26.9621315,-0.861834168,25.72779083,-12.01129246,21.99510956,-14.09604168,16.46231079,-25.406353,18.05376434,-13.70151329,17.55230141,3.044867992,11.51874924,-17.18278694,15.59278107,8.082790375,13.79576778,-16.5475769,15.51772022,0.00965969,0.006186231,0.104569285,0.056690656,1474.546102,754.5060014,1469.960933,400.5507823,2857.182018,1447.79988,136.2248514,33.27156011,0.842105263
03-01-03-01-02-01-01,1,data/raw/Actor_01/03-01-03-01-02-01-01.wav,happy,train,3.537,-432.5951538,66.15988159,106.6721954,56.97429657,-2.236110449,33.42145538,20.89094734,24.92574883,-7.75312233,29.40876198,-8.381950378,16.7117424,-17.83613396,20.75072861,-27.30460167,12.20982742,-20.40046883,13.17481041,5.809372425,15.97914124,-16.87169647,10.16532516,5.104661465,13.9318409,-14.80478001,10.94200611,0.008432038,0.004412329,0.127285156,0.12705046,1605.002261,1011.671456,1508.792081,433.6541141,3049.375,1713.851286,133.5899426,14.305314,0.74
03-01-03-01-02-02-01,1,data/raw/Actor_01/03-01-03-01-02-02-01.wav,happy,train,3.704,-431.8158264,69.40132904,87.49636078,64.03696442,-2.94380784,34.69182205,26.53998566,29.02230644,-8.923096657,27.96140099,-5.088500023,20.71843719,-16.95286751,19.95374489,-27.84716225,13.64776421,-20.05879211,14.24938202,1.023769617,16.8608551,-13.85651588,12.45589733,4.21806097,12.29736614,-16.31252289,9.558419228,0.007717164,0.003589708,0.138063665,0.132554291,1819.239976,1141.314685,1514.473688,333.026633,3230.537281,1484.939097,133.5654093,11.65698768,0.649122807
03-01-03-02-01-01-01,1,data/raw/Actor_01/03-01-03-02-01-01-01.wav,happy,train,3.67,-373.7712097,70.00504303,83.46390533,48.97651672,-17.57792091,31.28047943,6.443535805,29.61063385,-10.11788464,32.13936615,-16.36682892,19.72365761,-32.06581497,17.42816925,-17.98473167,11.22576523,-29.31069565,13.96661758,-0.188178718,13.62248135,-19.98670387,11.79005241,0.091163777,13.16805553,-17.76797104,9.438154221,0.014124213,0.007643121,0.121645327,0.072601305,1750.288116,885.2097537,1585.122552,350.3367014,3078.84838,1491.541445,223.9563272,27.4361276,0.722222222
03-01-03-02-01-02-01,1,data/raw/Actor_01/03-01-03-02-01-02-01.wav,happy,train,3.637,-389.2120056,106.540802,84.44098663,41.377388,-24.61773682,28.24941826,12.47937584,25.8980999,-4.359155178,29.20582581,-15.7398138,21.60751915,-21.65050507,14.91225052,-23.27938271,16.89190865,-28.0825634,22.79167175,6.752090931,13.78759289,-20.40348244,15.53762817,1.609569788,12.67887783,-12.80839825,12.68523026,0.016102161,0.011680005,0.115478516,0.074830781,1608.604787,753.6253377,1550.966435,381.9044782,3045.572917,1436.831229,199.8002345,44.61226457,0.766666667
03-01-03-02-02-01-01,1,data/raw/Actor_01/03-01-03-02-02-01-01.wav,happy,train,3.937,-326.2268677,66.5171051,69.65065002,54.51708221,-19.24580956,36.06265259,10.43656635,23.78649902,-10.80125809,31.27189636,-16.88925934,17.29940414,-22.64541817,17.30315399,-30.80150795,16.22436905,-25.17155838,15.09793091,3.239073753,15.03227711,-24.36244774,13.10925674,5.057284355,11.58654213,-19.68618393,11.50661659,0.021732526,0.01117005,0.159497458,0.149703745,2007.720246,1094.465951,1641.679912,337.5449886,3590.15377,1496.356605,182.9778763,32.46686959,0.746031746
03-01-03-02-02-02-01,1,data/raw/Actor_01/03-01-03-02-02-02-01.wav,happy,train,3.937,-341.8008423,81.91522217,73.5999527,56.36463928,-23.17670441,35.50465775,7.438783646,25.06619644,-11.86442566,31.6479969,-15.55264282,17.70090866,-24.73705482,20.90039635,-29.86296082,13.53528976,-26.11758041,15.08636093,-0.276483238,12.32525921,-19.20075607,13.52650452,4.161889553,12.95073605,-16.64181709,8.075342178,0.019845713,0.010543344,0.14642334,0.147312709,1912.039722,1125.679721,1552.66595,338.3998745,3479.370117,1460.459825,173.4629577,28.88957514,0.765625
03-01-04-01-01-01-01,1,data/raw/Actor_01/03-01-04-01-01-01-01.wav,sad,train,3.837,-491.4073486,56.76862335,101.7208328,52.23546982,-10.33918285,33.3380661,33.10548782,24.27353477,-3.984076262,22.75030899,-4.551976204,17.40301132,-15.95255089,17.67156601,-24.32596016,15.18755722,-13.50611305,10.56758118,-6.602734566,11.37044525,-5.976027012,13.75652409,-1.341458797,13.25961971,-16.4380455,10.00741482,0.004544497,0.002758587,0.11223848,0.079114612,1571.578681,845.8886581,1486.97003,352.175393,2946.636653,1289.633487,126.4912407,15.01796606,0.898305085
03-01-04-01-01-02-01,1,data/raw/Actor_01/03-01-04-01-01-02-01.wav,sad,train,3.57,-491.4195557,78.47865295,103.1988144,56.465271,-14.09272194,31.6405983,35.40653992,25.35296822,-5.490556717,24.15030861,-2.015941143,14.06773281,-14.12671566,17.27599907,-23.5419445,12.49595737,-17.35144997,9.659113884,-1.348590255,12.33817959,-6.027251244,12.60496712,-3.291712046,9.473615646,-10.72730541,10.20417595,0.004332417,0.002573905,0.119896079,0.086275438,1585.036435,862.023516,1437.561713,411.1065365,2989.829009,1446.755626,114.3426901,12.44182556,0.849056604
